Tid (s), Effekt (P)
2.00000000e-04,3.83688000e-02
4.00000000e-04,3.83688000e-02
6.00000000e-04,3.83688000e-02
8.00000000e-04,3.83688000e-02
1.00000000e-03,3.83688000e-02
1.20000000e-03,3.83688000e-02
1.40000000e-03,3.83688000e-02
1.60000000e-03,3.83688000e-02
1.80000000e-03,3.83688000e-02
2.00000000e-03,3.83688000e-02
2.20000000e-03,3.83688000e-02
2.40000000e-03,3.83688000e-02
2.60000000e-03,3.83688000e-02
2.80000000e-03,3.83688000e-02
3.00000000e-03,3.83688000e-02
3.20000000e-03,3.83688000e-02
3.40000000e-03,3.83688000e-02
3.60000000e-03,3.83688000e-02
3.80000000e-03,3.83688000e-02
4.00000000e-03,3.83688000e-02
4.20000000e-03,3.83688000e-02
4.40000000e-03,3.83688000e-02
4.60000000e-03,3.83688000e-02
4.80000000e-03,3.83688000e-02
5.00000000e-03,3.83688000e-02
5.20000000e-03,3.83688000e-02
5.40000000e-03,3.83688000e-02
5.60000000e-03,3.83688000e-02
5.80000000e-03,3.83688000e-02
6.00000000e-03,3.83688000e-02
6.20000000e-03,3.83688000e-02
6.40000000e-03,3.83688000e-02
6.60000000e-03,3.83688000e-02
6.80000000e-03,3.83688000e-02
7.00000000e-03,3.83688000e-02
7.20000000e-03,3.83688000e-02
7.40000000e-03,3.83688000e-02
7.60000000e-03,3.83688000e-02
7.80000000e-03,3.83688000e-02
8.00000000e-03,3.83688000e-02
8.20000000e-03,3.83688000e-02
8.40000000e-03,3.83688000e-02
8.60000000e-03,3.83688000e-02
8.80000000e-03,3.83688000e-02
9.00000000e-03,3.83688000e-02
9.20000000e-03,3.83688000e-02
9.40000000e-03,3.83688000e-02
9.60000000e-03,3.83688000e-02
9.80000000e-03,3.83688000e-02
1.00000000e-02,3.83688000e-02
1.02000000e-02,3.83688000e-02
1.04000000e-02,3.83688000e-02
1.06000000e-02,3.83688000e-02
1.08000000e-02,3.83688000e-02
1.10000000e-02,3.83688000e-02
1.12000000e-02,3.83688000e-02
1.14000000e-02,3.83688000e-02
1.16000000e-02,3.83688000e-02
1.18000000e-02,3.83688000e-02
1.20000000e-02,3.83688000e-02
1.22000000e-02,3.83688000e-02
1.24000000e-02,3.83688000e-02
1.26000000e-02,3.83688000e-02
1.28000000e-02,3.83688000e-02
1.30000000e-02,3.83688000e-02
1.32000000e-02,3.83688000e-02
1.34000000e-02,3.83688000e-02
1.36000000e-02,3.83688000e-02
1.38000000e-02,3.83688000e-02
1.40000000e-02,3.83688000e-02
1.42000000e-02,3.83688000e-02
1.44000000e-02,3.83688000e-02
1.46000000e-02,3.83688000e-02
1.48000000e-02,3.83688000e-02
1.50000000e-02,3.83688000e-02
1.52000000e-02,3.83688000e-02
1.54000000e-02,3.83688000e-02
1.56000000e-02,3.83688000e-02
1.58000000e-02,3.83688000e-02
1.60000000e-02,3.83688000e-02
1.62000000e-02,3.83688000e-02
1.64000000e-02,3.83688000e-02
1.66000000e-02,3.83688000e-02
1.68000000e-02,3.83688000e-02
1.70000000e-02,3.83688000e-02
1.72000000e-02,3.83688000e-02
1.74000000e-02,3.83688000e-02
1.76000000e-02,3.83688000e-02
1.78000000e-02,3.83688000e-02
1.80000000e-02,3.83688000e-02
1.82000000e-02,3.83688000e-02
1.84000000e-02,3.83688000e-02
1.86000000e-02,3.83688000e-02
1.88000000e-02,3.83688000e-02
1.90000000e-02,3.83688000e-02
1.92000000e-02,3.83688000e-02
1.94000000e-02,3.83688000e-02
1.96000000e-02,3.83688000e-02
1.98000000e-02,3.83688000e-02
2.00000000e-02,3.83688000e-02
2.02000000e-02,3.83688000e-02
2.04000000e-02,3.83688000e-02
2.06000000e-02,3.83688000e-02
2.08000000e-02,3.83688000e-02
2.10000000e-02,3.83688000e-02
2.12000000e-02,3.83688000e-02
2.14000000e-02,3.83688000e-02
2.16000000e-02,3.83688000e-02
2.18000000e-02,3.83688000e-02
2.20000000e-02,3.83688000e-02
2.22000000e-02,3.83688000e-02
2.24000000e-02,3.83688000e-02
2.26000000e-02,3.83688000e-02
2.28000000e-02,3.83688000e-02
2.30000000e-02,3.83688000e-02
2.32000000e-02,3.83688000e-02
2.34000000e-02,3.83688000e-02
2.36000000e-02,3.83688000e-02
2.38000000e-02,3.83688000e-02
2.40000000e-02,3.83688000e-02
2.42000000e-02,3.83688000e-02
2.44000000e-02,3.83688000e-02
2.46000000e-02,3.83688000e-02
2.48000000e-02,3.83688000e-02
2.50000000e-02,3.83688000e-02
2.52000000e-02,3.83688000e-02
2.54000000e-02,3.83688000e-02
2.56000000e-02,3.83688000e-02
2.58000000e-02,3.83688000e-02
2.60000000e-02,3.83688000e-02
2.62000000e-02,3.83688000e-02
2.64000000e-02,3.83688000e-02
2.66000000e-02,3.83688000e-02
2.68000000e-02,3.83688000e-02
2.70000000e-02,3.83688000e-02
2.72000000e-02,3.83688000e-02
2.74000000e-02,3.83688000e-02
2.76000000e-02,3.83688000e-02
2.78000000e-02,3.83688000e-02
2.80000000e-02,3.83688000e-02
2.82000000e-02,3.83688000e-02
2.84000000e-02,3.83688000e-02
2.86000000e-02,3.83688000e-02
2.88000000e-02,3.83688000e-02
2.90000000e-02,3.83688000e-02
2.92000000e-02,3.83688000e-02
2.94000000e-02,3.83688000e-02
2.96000000e-02,3.83688000e-02
2.98000000e-02,3.83688000e-02
3.00000000e-02,3.83688000e-02
3.02000000e-02,3.83688000e-02
3.04000000e-02,3.83688000e-02
3.06000000e-02,3.83688000e-02
3.08000000e-02,3.83688000e-02
3.10000000e-02,3.83688000e-02
3.12000000e-02,3.83688000e-02
3.14000000e-02,3.83688000e-02
3.16000000e-02,3.83688000e-02
3.18000000e-02,3.83688000e-02
3.20000000e-02,3.83688000e-02
3.22000000e-02,3.83688000e-02
3.24000000e-02,3.83688000e-02
3.26000000e-02,3.83688000e-02
3.28000000e-02,3.83688000e-02
3.30000000e-02,3.83688000e-02
3.32000000e-02,3.83688000e-02
3.34000000e-02,3.83688000e-02
3.36000000e-02,3.83688000e-02
3.38000000e-02,3.83688000e-02
3.40000000e-02,3.83688000e-02
3.42000000e-02,3.83688000e-02
3.44000000e-02,3.83688000e-02
3.46000000e-02,3.83688000e-02
3.48000000e-02,3.83688000e-02
3.50000000e-02,3.83688000e-02
3.52000000e-02,3.83688000e-02
3.54000000e-02,3.83688000e-02
3.56000000e-02,3.83688000e-02
3.58000000e-02,3.83688000e-02
3.60000000e-02,3.83688000e-02
3.62000000e-02,3.83688000e-02
3.64000000e-02,3.83688000e-02
3.66000000e-02,3.83688000e-02
3.68000000e-02,3.83688000e-02
3.70000000e-02,3.83688000e-02
3.72000000e-02,3.83688000e-02
3.74000000e-02,3.83688000e-02
3.76000000e-02,3.83688000e-02
3.78000000e-02,3.83688000e-02
3.80000000e-02,3.83688000e-02
3.82000000e-02,3.83688000e-02
3.84000000e-02,3.83688000e-02
3.86000000e-02,3.83688000e-02
3.88000000e-02,3.83688000e-02
3.90000000e-02,3.83688000e-02
3.92000000e-02,3.83688000e-02
3.94000000e-02,3.83688000e-02
3.96000000e-02,3.83688000e-02
3.98000000e-02,3.83688000e-02
4.00000000e-02,3.83688000e-02
4.02000000e-02,3.83688000e-02
4.04000000e-02,3.83688000e-02
4.06000000e-02,3.83688000e-02
4.08000000e-02,3.83688000e-02
4.10000000e-02,3.83688000e-02
4.12000000e-02,3.83688000e-02
4.14000000e-02,3.83688000e-02
4.16000000e-02,3.83688000e-02
4.18000000e-02,3.83688000e-02
4.20000000e-02,3.83688000e-02
4.22000000e-02,3.83688000e-02
4.24000000e-02,3.83688000e-02
4.26000000e-02,3.83688000e-02
4.28000000e-02,3.83688000e-02
